Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-05-04,6220,6360,6140,6180,4794.425781,26100000,4820.28597,4754.084082
2000-05-05,6180,6180,6180,6180,4794.425781,0,4794.425781,4782.012988
2000-05-08,6400,6700,6300,6560,5089.22998,52695000,4892.693847,4868.902734
2000-05-09,6560,6560,6560,6560,5089.22998,0,4990.961914,4912.347461
2000-05-10,6320,6390,6270,6350,4926.311523,27620000,5034.923828,4938.724609
2000-05-11,6350,6350,6350,6350,4926.311523,0,4980.617675,4965.101757
2000-05-12,6420,6440,6160,6160,4778.910645,47170000,4877.177897,4961.99873
2000-05-15,6290,6530,6220,6440,4996.133789,47120000,4900.451986,4943.379492
2000-05-16,6510,6800,6510,6800,5275.42041,39620000,5016.821615,4980.617578
2000-05-17,7000,7340,6920,6920,5368.51709,76235000,5213.357096,5069.058691
2000-05-18,6740,7000,6680,6800,5275.42041,36580000,5306.452637,5138.880469
2000-05-19,6740,6900,6600,6900,5352.999023,41450000,5332.312174,5253.698144
2000-05-22,6720,6830,6620,6670,5174.565918,36385000,5267.661784,5289.38457
2000-05-23,6500,6700,6350,6380,4949.585449,41290000,5159.05013,5224.217578
2000-05-24,6160,6370,5920,6200,4809.941895,72150000,4978.031087,5112.502539
2000-05-25,6330,6380,5930,6000,4654.78125,85965000,4804.769531,4988.374707
2000-05-26,5900,5990,5600,5600,4344.463379,67100000,4603.062175,4786.667578
2000-05-29,5260,5680,5240,5460,4235.852051,67130000,4411.698893,4598.924805
2000-05-30,5460,5460,5460,5460,4235.852051,0,4272.055827,4456.178125
2000-05-31,6000,6290,5960,6160,4778.910645,83935000,4416.871582,4449.971875
2000-06-01,6200,6410,6120,6300,4887.521973,50230000,4634.09489,4496.52002
2000-06-02,6690,6900,6510,6620,5135.776367,84385000,4934.069662,4654.782617
2000-06-05,6920,6980,6680,6740,5228.87207,48010000,5084.056803,4853.386621
2000-06-06,6740,6740,6740,6740,5228.87207,0,5197.840169,5051.990625
2000-06-07,6600,6980,6510,6800,5275.42041,53365000,5244.388183,5151.292578
2000-06-08,6660,6960,6530,6530,5065.955078,58550000,5190.082519,5186.979199
2000-06-09,6600,7040,6530,7020,5446.09668,63860000,5262.490723,5249.043262
2000-06-12,7200,7280,7030,7190,5577.982422,49515000,5363.344727,5318.865332
2000-06-13,7060,7100,6870,7060,5477.128418,42495000,5500.402507,5368.516602
2000-06-14,7230,7640,7090,7640,5927.089355,63020000,5660.733398,5498.850391
2000-06-15,7560,7560,7000,7000,5430.579102,61225000,5611.598958,5571.775195
2000-06-16,6900,6960,6710,6740,5228.87207,66455000,5528.846842,5528.330273
